Experience_Level,Bilgi Teknolojileri ve Yazılım,Dağıtım ve Toptan Tıcaret,Dijital Medya ve Eğlence,Diğer,Eğitim,Finans ve Muhasebe,Gıda ve İçecek,Havacılık,Mühendislik,Otomotiv,Perakende ve E-tıcaret,Sağlık ve Tıp,Tekstil ve Hazır Giyim,Telekomünikasyon,Turizm ve Konaklama,Çevre ve Enerji,Üretim,İnşaat
0-1 Yıl,31409.09,21833.33,20566.67,25109.09,26350.0,28477.27,30944.44,48791.67,27338.71,33695.65,31184.21,29326.09,24263.16,24166.67,21944.44,23857.14,27892.86,33166.67
1-3 Yıl,40330.43,38833.33,29651.52,31190.22,28465.52,38411.76,31965.52,52642.86,33864.86,35043.48,32571.43,35728.57,28925.0,36450.0,29400.0,36555.56,29400.0,32119.05
3-5 Yıl,53714.29,27400.0,39071.43,36225.0,33769.23,44361.11,38000.0,62166.67,39080.0,48833.33,43395.83,37950.0,34187.5,39888.89,32642.86,30500.0,36687.5,37769.23
5-7 Yıl,63000.0,35500.0,40500.0,46178.57,28722.22,54071.43,36928.57,,40500.0,48000.0,44590.91,46750.0,39785.71,,38833.33,32166.67,45500.0,56750.0
7-9 Yıl,57722.22,,48000.0,48833.33,45500.0,42166.67,52000.0,,58833.33,53000.0,25500.0,35333.33,85500.0,,45500.0,45500.0,40500.0,37400.0
9-12 Yıl,55500.0,,,51214.29,45500.0,38833.33,55500.0,,48000.0,52166.67,45333.33,55500.0,58000.0,60500.0,25500.0,62166.67,45500.0,35250.0
12 ve ustu,,,50500.0,42642.86,58833.33,50954.55,45500.0,,38833.33,47500.0,40500.0,35500.0,43277.78,25500.0,,,50500.0,35500.0
